   2 Africa	BantuHerero
   2 Africa	BantuKenya
   2 Africa	BantuTswana
   2 Africa	Biaka
   3 Africa	Dinka
   2 Africa	Esan
   2 Africa	Gambian
   2 Africa	Igbo
   4 Africa	Ju_hoan_North
   2 Africa	Khomani_San
   1 Africa	Kongo
   2 Africa	Lemande
   2 Africa	Luhya
   2 Africa	Luo
   3 Africa	Mandenka
   2 Africa	Masai
   4 Africa	Mbuti
   2 Africa	Mende
   2 Africa	Mozabite
   2 Africa	Saharawi
   1 Africa	Somali
   3 Africa	Yoruba
   1 America	Chane
   2 America	Chipewyan
   2 America	Cree
   3 America	Karitiana
   2 America	Mayan
   3 America	Mixe
   2 America	Mixtec
   2 America	Nahua
   2 America	Piapoco
   2 America	Pima
   3 America	Quechua
   2 America	Surui
   2 America	Zapotec
   2 CentralAsiaSiberia	Aleut
   1 CentralAsiaSiberia	Altaian
   1 CentralAsiaSiberia	Chukchi
   1 CentralAsiaSiberia	Eskimo_Chaplin
   2 CentralAsiaSiberia	Eskimo_Naukan
   2 CentralAsiaSiberia	Eskimo_Sireniki
   3 CentralAsiaSiberia	Even
   1 CentralAsiaSiberia	Itelman
   2 CentralAsiaSiberia	Kyrgyz
   2 CentralAsiaSiberia	Mansi
   2 CentralAsiaSiberia	Mongola
   2 CentralAsiaSiberia	Tlingit
   2 CentralAsiaSiberia	Tubalar
   2 CentralAsiaSiberia	Ulchi
   2 CentralAsiaSiberia	Yakut
   2 EastAsia	Ami
   1 EastAsia	Atayal
   2 EastAsia	Burmese
   2 EastAsia	Cambodian
   4 EastAsia	Dai
   2 EastAsia	Daur
   3 EastAsia	Han
   2 EastAsia	Hezhen
   3 EastAsia	Japanese
   2 EastAsia	Kinh
   2 EastAsia	Korean
   2 EastAsia	Lahu
   2 EastAsia	Miao
   2 EastAsia	Naxi
   2 EastAsia	Oroqen
   2 EastAsia	She
   2 EastAsia	Thai
   2 EastAsia	Tu
   2 EastAsia	Tujia
   2 EastAsia	Uygur
   2 EastAsia	Xibo
   2 EastAsia	Yi
   2 Oceania	Australian
   2 Oceania	Bougainville
   2 Oceania	Dusun
   1 Oceania	Hawaiian
   2 Oceania	Igorot
   1 Oceania	Maori
  15 Oceania	Papuan
   1 Region	Population_ID
   2 SouthAsia	Balochi
   2 SouthAsia	Bengali
   2 SouthAsia	Brahmin
   2 SouthAsia	Brahui
   2 SouthAsia	Burusho
   2 SouthAsia	Hazara
   2 SouthAsia	Irula
   2 SouthAsia	Kalash
   2 SouthAsia	Kapu
   1 SouthAsia	Kashmiri_Pandit
   1 SouthAsia	Kharia
   1 SouthAsia	Khonda_Dora
   1 SouthAsia	Kurumba
   2 SouthAsia	Kusunda
   2 SouthAsia	Madiga
   2 SouthAsia	Makrani
   3 SouthAsia	Mala
   2 SouthAsia	Onge
   2 SouthAsia	Pathan
   4 SouthAsia	Punjabi
   2 SouthAsia	Relli
   2 SouthAsia	Sherpa
   2 SouthAsia	Sindhi
   2 SouthAsia	Tibetan
   2 SouthAsia	Yadava
   2 WestEurasia	Abkhasian
   2 WestEurasia	Adygei
   1 WestEurasia	Albanian
   2 WestEurasia	Armenian
   2 WestEurasia	Basque
   2 WestEurasia	BedouinB
   2 WestEurasia	Bergamo
   2 WestEurasia	Bulgarian
   1 WestEurasia	Chechen
   2 WestEurasia	Crete
   1 WestEurasia	Czech
   2 WestEurasia	Druze
   2 WestEurasia	English
   2 WestEurasia	Estonian
   3 WestEurasia	Finnish
   3 WestEurasia	French
   2 WestEurasia	Georgian
   2 WestEurasia	Greek
   2 WestEurasia	Hungarian
   2 WestEurasia	Icelandic
   2 WestEurasia	Iranian
   2 WestEurasia	Iraqi_Jew
   3 WestEurasia	Jordanian
   2 WestEurasia	Lezgin
   2 WestEurasia	North_Ossetian
   1 WestEurasia	Norwegian
   2 WestEurasia	Orcadian
   3 WestEurasia	Palestinian
   1 WestEurasia	Polish
   2 WestEurasia	Russian
   2 WestEurasia	Saami
   1 WestEurasia	Samaritan
   3 WestEurasia	Sardinian
   2 WestEurasia	Spanish
   2 WestEurasia	Tajik
   2 WestEurasia	Turkish
   2 WestEurasia	Tuscan
   2 WestEurasia	Yemenite_Jew
